and,92964
/><br,76075
,70049
the,58329
a,57206
to,43456
with,40364
in,38524
of,36439
is,28904
website_redacted,23991
for,18513
apartment,16719
or,15489
on,13324
this,13051
The,11297
building,11083
from,10761
kitchen,10726
bedroom,10434
/><p><a,10425
-,10121
This,10040
you,10008
at,9769
that,9499
your,9365
New,9290
an,9167
&,9108
2,8778
has,8477
are,8115
steel,7921
features,7889
hardwood,7690
1,7549
stainless,7455
living,7191
AND,7149
A,6807
York,6646
all,6616
new,6443
great,6339
full,6170
renovated,6133
more,5984
me,5914
large,5877
THE,5824
located,5740
one,5729
room,5521
granite,5374
high,5253
as,5226
marble,5209
TO,5191
IN,5119
have,5078
floors,,5014
closet,4920
East,4815
I,4727
information,4709
private,4684
real,4573
email,4548
unit,4502
broker,4468
WITH,4456
call,4426
by,4345
estate,4334
laundry,4328
schedule,4254
equal,4252
housing,4208
appliances,4207
supports,4158
including,4145
can,4122
appliances,,4115
3,4018
Central,3888
space,3877
opportunity.<p><a,3874
kagglemanager@renthop.com,3850
access,3840
spacious,3837
kagglemanager@renthop.com<br,3732
be,3721
/>Bond,3667
OF,3660
beautiful,3653
just,3647
windows,3619
bathroom,3610
contact,3493
luxury,3452
href=,3450
target=_blank,3450
will,3400
floor,3373
NO,3325
floors,3304
room,,3295
West,3249
it,3138
fitness,3132
apartments,3108
Upper,3087
restaurants,,3033
<br,2996
modern,2912
Park,2871
Call,2853
two,2845
heart,2827
ceilings,,2799
offers,2794
find,2792
home,2781
views,2762
Large,2752
natural,2737
THIS,2730
open,2726
view,2681
size,2678
today,2671
also,2671
Laundry,2667
any,2634
studio,2623
24,2609
amenities,2595
Apartment,2582
Bedroom,2578
subway,2571
available,2527
,,2525
steps,2503
walk,2487
Stainless,2485
FOR,2471
APARTMENT,2460
Kitchen,2450
listing,2439
other,2436
area,2417
Hardwood,2401
Located,2396
restaurants,2389
away,2385
viewing,2369
Great,2357
close,2353
wood,2352
dining,2346
/,2328
BUILDING,2312
up,2304
kitchen,,2281
well,2280
best,2265
High,2265
Renovated,2258
city,2246
space,,2245
sized,2240
Access,2237
text,2230
Building,2223
free,2218
counter,2215
not,2213
doorman,2211
please,2193
OR,2169
For,2150
see,2139
Manhattan,2126
blocks,2126
Park,,2120
doorman,,2116
location,2112
amazing,2097
space.,2055
