f6558f989249caaf80af8b89dd765e4d,54
0,68
bb22f1637de95eb476d3f43ee3223b99,37
901c2202639455decb51f3224fa68a58,85
7d58e8da946f99cec0a908480cd8ff1e,138
0,90
04bfd6f28be788e8c9ff61deb8f39f6c,59
763c879ec0f9ffae239240ab8e59b120,35
7967a1280bf3f7644500fc79d2696b0e,50
93a9daff79863e07f9ee2e8fb6ce097f,285
0,232
149ef193db3f1d70ec4b8f731500907c,71
c68228003fc68fe61bb1f2b398cd05ad,226
921708d69e2457dda9ee774f9f4a3379,110
a433bb20f3f94e3f3e6700286e351638,100
0,90
d579c8bec087237fd996eea2e65d169d,84
81ba61d73ef11e3078f37c555d4c552c,122
415814c4b23b8b868a304ac844f37a75,130
c8a51e73a5044550d03ae2336c167b93,169
0,86
1edde1c89233fb1b1a38c53e992b0756,88
696917fb3bd7ea448cdf7fc79aeb78c2,1
cdf3e0d9b2c48161b2432786b3ed0cd0,4
8f56edc287bbd2805c7ee32fe6b7e0d6,41
046f3a231658321a14a75e7769f4e3a6,25
049cc87c01ee103027d320c6a25a78b3,9
a1bd0631f4febfb498e34b7cf68bcfb1,103
0,138
994cc709e8e6fc027379689b9dc3fd88,49
0,98
97012980cc3e6869a5f46a683844166b,357
84ababccac27ba73d403bd968d1f3bec,101
0,131
03b5a7bf20af6fbf2ea0c62549ce4604,100
9be814d8eaef944ea6e894188f7abdda,107
0,106
2f2bdce7240f3b8f72de2580c5fd350c,116
57ef86c28a8ae482dc3a3c3af28e8e48,235
0,136
78e50c94b33bb1ceeb5f4c8ff7455703,137
cadae9f83a6ab7d62da4eb1e1feb954b,151
424f8014bddc288d26da5fe81d0bea02,51
96835a48bbe776c37aec3dc0f3df8887,154
7259f2d484b9103a1bf9f78c015e969d,52
dd7b281c0dbafc8b53575ab78cca75d4,1
b491b11c7eafd39aabdb9a9f0acf88b8,133
424839c29d604fbbb10f3cdaf3342da8,83
9174b75c0cd978eb0e5aa93afbad754b,141
0,32
