Table Key,Building ID, School Dist.
55513,ce6d18bf3238e668b2bf23f4110b7b67,28
55136,0,27
8180,c24c3fe898fcf801d631d4b018b8b760,13
69811,be6b7c3fdf3f63a2756306f4af7788a6,28
73146,b9f21f698d610360e8f2cec904178ee0,29
115781,cd759a988b8f23924b5a2058d5ab2b49,28
43886,0,28
2218,0071cda335745940cdae1dc31abfc701,24
98899,ac6114a130a198f377ccd6912bcc91bf,28
102525,6ef75c13f529716eade06677cdd37615,28
56859,0,27
102189,0,27
70464,0,29
66785,1c610776e98bcad1f0020d3285378b83,28
88447,7a4e86084d2514e208182c175e9c66a3,28
50766,d0abe4831a16dccf81693660ad670463,28
90354,6aede166b47837e4729ae36a83e210b3,28
45908,9511903feae56d0e8537696f1ed1a8ad,28
68013,fbfbbe6e1e49af00708eeab073aa6cba,28
113544,9e9c52496a1be0899db1b4c2d31bb39f,13
13620,6869a3c2a96003e9992d6cd1c3c4b299,28
19667,7795f384b5768b121136a7cec3f22c07,28
35585,2481aa22a7f71353f64f9605494a0773,28
56593,0,30
88544,d9ecc11f7d634c492a93cbfaa310a71c,28
24279,0,28
29905,0,29
4731,1be9c496f7bdff4a552e3d4e91f915f8,28
11407,c6fc3550da853097ac776580b93df99a,28
14589,f68bf347f99df026f4faad43cc604048,28
111627,bcf77c615fe44ac44eef4bac15293c73,28
120833,09f95dd9db496bd7d12d487ec06a128a,28
52256,8ef0bf685185da7af5f48e8c16205c8f,29
117924,f16399344da0b429d6b3ebea1a535582,29
15487,78e50c94b33bb1ceeb5f4c8ff7455703,28
4962,0021440c04241281a436ec21accc40b1,28
64944,ee92ad1183f255ff3abda099dc567215,13
11749,ea11299b288bdb7e740fc2dccfc3b140,28
59989,c1bb13b2b2e64f1529e0530a959fc91e,23
37232,cd759a988b8f23924b5a2058d5ab2b49,28
71672,4a6b015205c0e84e3c4f4ef4b3fc5576,14
114112,737ee0542f5be37443dc2c4551c50599,28
49597,3c537bd82fd281e46b20cfe592f2f8be,28
96680,fae1d11169f52416dd4d5e60e53a4e9c,27
106994,6a7872e86552c538614d66c8198e7e1e,27
20479,8c5e2fcf62019d374743f0823df5507e,13
6785,b8e75fc949a6cd8225b455648a951712,28
97625,2d17d3f9e250d0c47077e5d2b9bc9a47,28
8836,aed67db466854ec2aa5d249a032bc401,28
29927,8f69240b0dff78e693fbd8c92c94f509,28
122177,379a891accd668964c9d2080cce45179,28
19224,5565db9b7cba3603834c4aa6f2950960,30
60878,57ef86c28a8ae482dc3a3c3af28e8e48,28
19495,363469832d8c7db7eff53b2dbf0c3a98,28
80156,7a9ae106c9bf463c73963c4d40f332b9,28
40401,6f645c79e99b6d37690073a4415d2848,29
101115,f715135f6cf179a3b5f0343d6a551e53,28
49198,eaea5041914df950dc56f7782a35e426,28
16066,179f2afd60cfb6fdb88e0221735d0eac,28
79170,f4fce2be9d94d6ee2f4449db343ff8e4,28
4621,0,13
102982,c40e3e74475a91aae1928541be8df678,29
26447,94cc4a200a2bf2de0b7304f39beb9227,28
39326,0,29
86539,edb4946312e4a94d8f393173d4941d04,32
65455,62772db889c5fd564f47eb5d46e64e4e,28
53126,aff08f47b4f96542e22df80eafc8836d,28
83034,67bc2a137a7fcf2e878a79a195f1b614,28
116142,0,28
67571,a63312b499d01477139d66acf93513b1,28
95725,cd759a988b8f23924b5a2058d5ab2b49,28
88593,ce6d18bf3238e668b2bf23f4110b7b67,28
75178,d21e91cb4ecb90e4ed5dd2102647e1ed,6
122918,b961b4d9c7eb48c6d2ea294910f324b5,29
50503,211c702ca3fe8fc6753f5557e61d0a3a,29
97523,195606c5de48fd8dbfc8e93e9d3876c6,28
38,2787598123c55dbf45b514958909c79c,28
58734,f79723a4330ff8b15e3e384e7f984659,28
103433,0,28
58927,dd7b281c0dbafc8b53575ab78cca75d4,28
50555,87549821ef28bfd6439419baa9cb6a33,28
78653,ac9e64a7721b09d0b3ed9715d739d306,6
6577,b3b3bb23497fedb4e68dfa182e272bb2,28
116694,f45ba6d22add6d2c30bb2256dd715901,32
117334,26b7ab18fb7c34b2aa6c77a4e5c5a327,28
105707,0,28
34486,128d4af0683efc5e1eded8dc8044d5e3,28
12297,ea9234116c312d81fcaac4265c522d10,13
116108,0,28
9276,bcc3ed0f5c24035c060241af9b0aaf59,26
96849,957599b634ab2d5413c9bf8534d8887b,28
120873,e9ae1ce23f3c4c16e0861b60d69b2a6f,28
41736,2787598123c55dbf45b514958909c79c,28
68958,a7ceaa5ff90369ca813e80d00a4d2f8c,32
80536,05eaf0ebc460696ce5703a0337765ebc,28
61932,75968833fe814f3a5236959790fb4984,28
104342,0,28
100253,68d36cc2484b6c3d0ae7bde144541abd,10
26870,161dc21b7b288b54386fbb715ae22442,30
26401,2454e24716f0ab99bceda6bd7757422e,28
70683,03b5a7bf20af6fbf2ea0c62549ce4604,28
83033,f646d99f9e9013f21384e1b64cfe02e1,28
80516,9283f93c20fbbad3476097038dbc6bde,28
69375,d9b4a13d6460ca00a0b479d162971684,29
51068,ca29fb40d71633335644ef249d3b9a5a,30
60953,2839069d980108c7d79616b17f9c5cba,32
33202,faf23e0c17d886285713eef8605260ee,28
86918,7743b502f7295255b2b925f97d0f69f2,28
12092,8e3b8c607c3edcf3de131c24f0390179,28
84969,ea11299b288bdb7e740fc2dccfc3b140,28
112312,5fb96990fbab79e8b88707fb477eec2f,28
53687,4c1e8ced783eb4f3c16af92132234f76,28
100179,bde4018a1c4f290eb89af695a7a1d644,28
82718,59d2a289784736c85f1f73dd35d7e381,13
81908,59466b159318bae67fcd6c40e30bd1cc,28
88372,4a53c3dc3a4d972b1be253eac160703d,27
123907,093f64f52a6e43ba5e8f12bec8200554,28
7203,186668815e06fa0ba5b78bcea801fe96,28
88142,53fa8ce90faf49e0dfa5f9d365610118,28
88379,c3273966d3c88454ac05fa65dc7ef578,23
47913,0,28
45688,0,28
58781,8f83dcd0e19ecbe1c6962e6016520fce,13
110198,f00ef633179e4c17d5d5d5b5e999ab6d,28
65186,607b649dc7d022357d0145482288a0b1,28
45862,11e1dec9d14b1a9e528386a2504b3afc,28
24241,f739065beb80c4a65a3ea99526abe6ce,6
11651,b7e93954b3d65c010b70de63abfe2776,28
66194,6134e7c4dd1a98d9aee36623c9872b49,28
23238,578c1ede6ab13bb01bb41dd36dc9c4b8,28
33075,093f64f52a6e43ba5e8f12bec8200554,28
13079,0,28
61505,f8aa265b52678b370e8fd087da193949,28
11149,0,30
30234,0,28
49873,57efa26ca6f2a3a6120e0f2e3972c39b,28
96791,b8dd6e4108ff8475366b000ef04ae58b,29
24661,3771dfb4f76d31d46512e1a2bb1a68d1,28
104432,22d66388eefbed5e5c37384d7e947c82,28
67828,5b1bb1695052d2a027aa4aa91534ed9f,28
113624,8ef0bf685185da7af5f48e8c16205c8f,29
51052,56ccbba416736951d8f4e7a08c214fcf,28
15886,0,28
115627,0,22
48140,11e1dec9d14b1a9e528386a2504b3afc,28
36262,0,14
22020,0,30
121098,459a31a86550e63c5f9205eade6b5320,14
84420,f68bf347f99df026f4faad43cc604048,28
114201,79fe30ac190d7b72de8ab14e04221068,28
102198,80e2e7b71c45db5f52d12a022a130565,28
32823,13f713e1cd3ae7ddb282df6da9454e2d,26
66881,a6fb47bf44e73e699b9acf3d8cde48f0,28
88425,fd24c396e3c62c440a14f7241c6fa595,24
115181,272f2b13f30cb68e90e6be7766703f3d,28
17428,0,29
94313,0,27
39237,4a188c082a0a78623e3f4b7449035c65,28
45526,0edee1c762f23661dc6c0e9f622880b7,28
57294,0,13
86618,17dc8831be5fdbb2320e1f586a7a596b,27
40416,0e72c5f740c1705c26753ce9fc27f7c3,28
58983,049d1f82385b45207b5562f2a2cccb01,28
12431,0,28
70558,54476cc8bee2f62265e31d677a25e864,28
86944,80a120d6bc3aba97f40fee8c2204524b,28
120550,ce6d18bf3238e668b2bf23f4110b7b67,28
85781,619c13fe59de5329bbdbf3188ce4ad8a,28
46010,70e98a1667c6e62a683238ae35e3aa0a,22
56094,ec12b4db154a9c75983f5e32edd93843,28
118163,0,25
2254,d0234abbc01a982d54e8d446acc03405,28
21225,04bfd6f28be788e8c9ff61deb8f39f6c,13
34160,96274288c84ddd7d5c5d8e425ee75027,28
3071,c77a7a2e563c3f17fd5beeb459704d10,2
98744,0,28
100139,6e9276972669ddcb097e71691f4c8f1b,28
